% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        1.3904967000         0.2166861749         2.8425968997         1.4041998268         2.1842589113         1.7270082468
        1.3955071000         0.2174544406         2.8429900299         1.3965428462         2.1868107888         1.5275462741
        1.4004036000         0.2182051115         2.8433742077         1.3914381925         2.1842589113         1.3945716257
        1.4055003000         0.2189863374         2.8437740768         1.4016475000         2.1995701761         1.6605209226
        1.4104246000         0.2197410044         2.8441604040         1.3965428462         2.2046739310         1.5275462741
        1.4154959000         0.2205180623         2.8445582470         1.3965428462         2.2021220535         1.5275462741
        1.4204081000         0.2212706085         2.8449435921         1.4016475000         2.2148814408         1.6605209226
        1.4254124000         0.2220371288         2.8453361452         1.3990951731         2.2199851957         1.5940335983
        1.4304617000         0.2228104028         2.8457322108         1.4093044805         2.2327445830         1.8599828952
        1.4354590000         0.2235755753         2.8461241798         1.3965428462         2.2352964605         1.5275462741
        1.4404553000         0.2243404569         2.8465160526         1.3939905194         2.2352964605         1.4610589499
        1.4454026000         0.2250977010         2.8469040645         1.3939905194         2.2429520929         1.4610589499
        1.4504848000         0.2258754517         2.8473026378         1.4067521537         2.2608152351         1.7934955710
        1.4554685000         0.2266379886         2.8476934676         1.4041998268         2.2608152351         1.7270082468
        1.4605089000         0.2274090598         2.8480887249         1.3939905194         2.2608152351         1.4610589499
        1.4654781000         0.2281690993         2.8484783799         1.4016475000         2.2761264998         1.6605209226
        1.4704283000         0.2289260946         2.8488665261         1.3965428462         2.2786783773         1.5275462741
        1.4754752000         0.2296977350         2.8492622349         1.3965428462         2.2786783773         1.5275462741
        1.4804078000         0.2304517600         2.8496489623         1.3990951731         2.2914377646         1.5940335983
        1.4854417000         0.2312211278         2.8500436118         1.4067521537         2.3041971519         1.7934955710
        1.4904403000         0.2319849573         2.8504354734         1.4041998268         2.3016452744         1.7270082468
        1.4954535000         0.2327508742         2.8508284590         1.4016475000         2.3118527843         1.6605209226
        1.5008443000         0.2335743198         2.8512510214         1.3990951731         2.3195084166         1.5940335983
        1.5054842000         0.2342829312         2.8516147043         1.4093044805         2.3297159265         1.8599828952
        1.5106260000         0.2350680479         2.8520177055         1.4067521537         2.3373715588         1.7934955710
        1.5154638000         0.2358066061         2.8523968591         1.3965428462         2.3322678039         1.5275462741
        1.5206841000         0.2366034054         2.8528059676         1.3990951731         2.3424753138         1.5940335983
        1.5254515000         0.2373309375         2.8531795619         1.4093044805         2.3577865785         1.8599828952
        1.5304808000         0.2380982928         2.8535736578         1.4067521537         2.3577865785         1.7934955710
