% Motor Sine Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 40.0000 [sec]
% Frequency    = 0.025000 [Hz]
% Cycles       = 5
% Duration     = 200.0000 [sec]
% K_lin        = 8.127800 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.337023 [V]
% p_cw         = [-2.621900, 30.449800, -63.426600]
% p_ccw        = [2.394600, 4.751300, -23.293900]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.3900106000         0.1530610198         2.7979017718         1.3863335388         3.0646566347         1.2845351041         1.2440493565
        0.3950053000         0.1550187070         2.7989104036         1.3837812120         3.0672085121         1.2180477798         1.2599610468
        0.4000125000         0.1569811979         2.7999218500         1.3914381925         3.0774160220         1.4175097525         1.2759117801
        0.4050060000         0.1589382225         2.8009308180         1.3863335388         3.0825197769         1.2845351041         1.2918180851
        0.4100051000         0.1608973440         2.8019412064         1.4169614611         3.0978310416         2.0823829948         1.3077414322
        0.4150028000         0.1628558176         2.8029516004         1.3863335388         3.0978310416         1.2845351041         1.3236595140
        0.4200068000         0.1648166594         2.8039635568         1.3863335388         3.1003829191         1.2845351041         1.3395968445
        0.4250053000         0.1667752444         2.8049746890         1.3939905194         3.1131423064         1.4839970767         1.3555158316
        0.4300076000         0.1687352155         2.8059868778         1.3914381925         3.1156941838         1.4175097525         1.3714460842
        0.4350053000         0.1706932801         2.8069984231         1.3863335388         3.1105904289         1.2845351041         1.3873608421
        0.4400101000         0.1726540211         2.8080116930         1.3837812120         3.1207979388         1.2180477798         1.4032973525
        0.4450051000         0.1746108163         2.8090232652         1.4118568074         3.1310054486         1.9494083463         1.4192017926
        0.4500045000         0.1765692276         2.8100360147         1.3939905194         3.1310054486         1.4839970767         1.4351193678
        0.4550031000         0.1785272166         2.8110488881         1.3888858657         3.1361092035         1.3510224283         1.4510335110
        0.4600043000         0.1804861139         2.8120625742         1.3914381925         3.1437648359         1.4175097525         1.4669550366
        0.4650072000         0.1824455656         2.8130768906         1.3837812120         3.1386610810         1.2180477798         1.4828810685
        0.4700099000         0.1844048264         2.8140914519         1.3914381925         3.1463167133         1.4175097525         1.4988055479
        0.4750032000         0.1863602922         2.8151043910         1.3939905194         3.1590761006         1.4839970767         1.5146991826
        0.4800044000         0.1883187368         2.8161192171         1.3914381925         3.1590761006         1.4175097525         1.5306170289
        0.4850191000         0.1902823513         2.8171370679         1.3965428462         3.1743873654         1.5504844010         1.5465768945
        0.4900052000         0.1922346497         2.8181493967         1.3939905194         3.1718354879         1.4839970767         1.5624447860
        0.4950031000         0.1941914501         2.8191644040         1.3888858657         3.1794911203         1.3510224283         1.5783492682
        0.5000048000         0.1961496185         2.8201804663         1.4067521537         3.1948023851         1.8164336979         1.5942648690
        0.5050720000         0.1981333066         2.8212101229         1.3939905194         3.1922505076         1.4839970767         1.6103878897
        0.5100063000         0.2000648470         2.8222130530         1.3990951731         3.1999061400         1.6169717252         1.6260870635
        0.5150047000         0.2020213569         2.8232292919         1.3939905194         3.2024580174         1.4839970767         1.6419891845
        0.5200050000         0.2039784859         2.8242461988         1.4041998268         3.2126655273         1.7499463736         1.6578963374
        0.5250046000         0.2059352151         2.8252632446         1.4016475000         3.2152174047         1.6834590494         1.6738002409
        0.5300046000         0.2078919738         2.8262806529         1.3939905194         3.2177692822         1.4839970767         1.6897043844
        0.5350047000         0.2098486434         2.8272983622         1.4016475000         3.2381843019         1.6834590494         1.7056078036
        0.5400028000         0.2118044010         2.8283159447         1.3990951731         3.2381843019         1.6169717252         1.7215038101
        0.5450045000         0.2137614365         2.8293345402         1.3965428462         3.2407361793         1.5504844010         1.7374102038
        0.5500027000         0.2157169708         2.8303527025         1.3939905194         3.2432880568         1.4839970767         1.7533043955
        0.5550037000         0.2176734675         2.8313717145         1.3939905194         3.2509436892         1.4839970767         1.7692064095
        0.5600031000         0.2196292040         2.8323906796         1.3939905194         3.2560474441         1.4839970767         1.7851022446
        0.5650029000         0.2215849615         2.8334100047         1.3990951731         3.2688068314         1.6169717252         1.8009982505
        0.5700040000         0.2235410909         2.8344298733         1.4041998268         3.2739105863         1.7499463736         1.8168972782
        0.5751245000         0.2255437793         2.8354743791         1.4016475000         3.2815662187         1.6834590494         1.8331747295
        0.5800049000         0.2274524260         2.8364701791         1.4016475000         3.2815662187         1.6834590494         1.8486878281
        0.5850039000         0.2294073167         2.8374904522         1.3990951731         3.2917737285         1.6169717252         1.8645767885
        0.5900033000         0.2313622223         2.8385110838         1.4067521537         3.2994293609         1.8164336979         1.8804658704
        0.5950133000         0.2333211297         2.8395341568         1.4067521537         3.3121887482         1.8164336979         1.8963874779
        0.6000037000         0.2352722298         2.8405535031         1.3965428462         3.3096368707         1.5504844010         1.9122456296
        0.6050037000         0.2372269383         2.8415750859         1.3965428462         3.3147406256         1.5504844010         1.9281331092
        0.6100032000         0.2391813050         2.8425968421         1.4041998268         3.3249481355         1.7499463736         1.9440178108
        0.6150136000         0.2411397846         2.8436211020         1.4041998268         3.3326037679         1.7499463736         1.9599359416
        0.6200028000         0.2430898292         2.8446413023         1.4067521537         3.3402594002         1.8164336979         1.9757855134
        0.6250054000         0.2450449612         2.8456645171         1.3939905194         3.3428112777         1.4839970767         1.9916764355
        0.6300027000         0.2469978708         2.8466869219         1.4093044805         3.3530187875         1.8829210221         2.0075492942
        0.6350383000         0.2489655938         2.8477174392         1.4041998268         3.3581225424         1.7499463736         2.0235425533
        0.6400036000         0.2509056937         2.8487338415         1.4041998268         3.3632262974         1.7499463736         2.0393112973
        0.6450039000         0.2528593150         2.8497576805         1.4067521537         3.3759856847         1.8164336979         2.0551899402
        0.6500049000         0.2548130537         2.8507819358         1.4067521537         3.3836413170         1.8164336979         2.0710695378
        0.6550051000         0.2567663227         2.8518062997         1.4118568074         3.3938488269         1.9494083463         2.0869453174
        0.6600067000         0.2587199801         2.8528312226         1.4118568074         3.3964007043         1.9494083463         2.1028242541
        0.6650040000         0.2606717984         2.8538555359         1.4118568074         3.4091600916         1.9494083463         2.1186882430
        0.6700053000         0.2626250182         2.8548809405         1.4016475000         3.4040563367         1.6834590494         2.1345636229
        0.6750039000         0.2645770216         2.8559060625         1.4016475000         3.4091600916         1.6834590494         2.1504291159
        0.6801692000         0.2665939516         2.8569656559         1.4093044805         3.4321269888         1.8829210221         2.1668223198
        0.6850049000         0.2684820214         2.8579578976         1.4144091342         3.4295751113         2.0158956706         2.1821681737
        0.6901672000         0.2704974393         2.8590174334         1.4118568074         3.4397826211         1.9494083463         2.1985490867
        0.6950928000         0.2724202810         2.8600286557         1.3990951731         3.4397826211         1.6169717252         2.2141775602
        0.7001883000         0.2744092763         2.8610750333         1.4118568074         3.4550938859         1.9494083463         2.2303437158
        0.7050048000         0.2762892041         2.8620643741         1.4016475000         3.4601976408         1.6834590494         2.2456233931
        0.7100041000         0.2782403133         2.8630915268         1.3990951731         3.4627495183         1.6169717252         2.2614816183
        0.7150069000         0.2801926167         2.8641196671         1.4144091342         3.4755089056         2.0158956706         2.2773495498
        0.7200035000         0.2821423278         2.8651468009         1.4144091342         3.4806126605         2.0158956706         2.2931964123
        0.7250043000         0.2840935039         2.8661750655         1.4067521537         3.4831645379         1.8164336979         2.3090551808
        0.7300055000         0.2860446607         2.8672036797         1.4067521537         3.4933720478         1.8164336979         2.3249137929
        0.7350046000         0.2879948217         2.8682321287         1.4118568074         3.5010276801         1.9494083463         2.3407643120
        0.7400043000         0.2899450392         2.8692609676         1.4169614611         3.5137870674         2.0823829948         2.3566152899
        0.7450046000         0.2918953119         2.8702901961         1.4195137880         3.5214426998         2.1488703190         2.3724667162
        0.7500055000         0.2938456385         2.8713198139         1.4246184417         3.5367539646         2.2818449675         2.3883185807
        0.7550040000         0.2957948479         2.8723492028         1.4118568074         3.5342020871         1.9494083463         2.4041613650
        0.7600035000         0.2977442649         2.8733790627         1.4220661148         3.5444095970         2.2153576432         2.4200058363
        0.7650047000         0.2996941610         2.8744095375         1.4195137880         3.5520652293         2.1488703190         2.4358542019
        0.7700044000         0.3016432874         2.8754399676         1.4246184417         3.5622727392         2.2818449675         2.4516963116
        0.7750066000         0.3035932023         2.8764711770         1.4169614611         3.5673764941         2.0823829948         2.4675448295
        0.7800035000         0.3055408640         2.8775015573         1.4348277491         3.5852396363         2.5477942644         2.4833750344
        0.7850045000         0.3074899353         2.8785330462         1.4271707685         3.5979990236         2.3483322917         2.4992166962
        0.7900043000         0.3094383493         2.8795645506         1.4297230954         3.5979990236         2.4148196159         2.5150530151
        0.7950036000         0.3113863775         2.8805962142         1.4246184417         3.6031027785         2.2818449675         2.5308861992
        0.8000038000         0.3133345644         2.8816283258         1.4271707685         3.6133102883         2.3483322917         2.5467206725
        0.8050080000         0.3152841162         2.8826615252         1.4246184417         3.6235177982         2.2818449675         2.5625662400
        0.8100048000         0.3172305908         2.8836934580         1.4373800759         3.6388290629         2.6142815886         2.5783867958
        0.8150041000         0.3191778436         2.8847261681         1.4246184417         3.6362771855         2.2818449675         2.5942136774
        0.8200070000         0.3211263016         2.8857598828         1.4348277491         3.6592440826         2.5477942644         2.6100503543
        0.8250125000         0.3230755738         2.8867943955         1.4195137880         3.6515884502         2.1488703190         2.6258936485
        0.8300061000         0.3250200127         2.8878267085         1.4297230954         3.6694515924         2.4148196159         2.6416976594
        0.8350118000         0.3269689626         2.8888617829         1.4399324028         3.6822109797         2.6807689128         2.6575383338
        0.8400067000         0.3289135059         2.8898948830         1.4220661148         3.6873147347         2.2153576432         2.6733431936
