% Motor Slew Rate Measurement - Continuous Step Sequence
% Segment length = 3.0 [sec]
% N_segments     = 20
% Duration       = 60.0 [sec]
% K_lin          = 8.127800 [(rad/s)/V]
% K_gimbal       = 26.049690 [(rad/s)/V]
% Vg_offset      = 1.336908 [V]
% p_cw           = [-2.621900, 30.449800, -63.426600]
% p_ccw          = [2.394600, 4.751300, -23.293900]
% Sequence (Vcmd per segment): +0.50 +0.00 -0.50 +0.00 +1.00 +0.00 -1.00 +0.00 +1.50 +0.00 -1.50 +0.00 +2.00 +0.00 -2.00 +0.00 +2.50 +0.00 -2.50 +0.00 

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       10.0850045000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.0900024000         0.0000000000         2.5000000000         1.3378393285         0.4336709744         0.0242678733         0.0000000000
       10.0950022000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.1000021000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1050048000         0.0000000000         2.5000000000         1.3352870017         0.4336709744        -0.0422194509         0.0000000000
       10.1100029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1150023000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1200015000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1251687000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       10.1300029000         0.0000000000         2.5000000000         1.3429439823         0.4387747293         0.1572425218         0.0000000000
       10.1350016000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.1400026000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1450029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1500033000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.1550023000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.1600021000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.1650033000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.1700030000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.1750019000         0.0000000000         2.5000000000         1.3454963091         0.4387747293         0.2237298460         0.0000000000
