% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.2727880000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2741224000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2754747000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2770855000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2784384000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2801196000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2818393000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2833432000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2846650000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2860030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2873075000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2886183000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2899407000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2914688000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2927538000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2940410000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2955610000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2971225000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3000043000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3050030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3100025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3150036000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3200033000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3250027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3300453000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3350041000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3400028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3450028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3500033000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3550026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3600034000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3650034000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3700066000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3750067000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3800029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3850043000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3900061000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.3950070000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4000050000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4050039000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4100016000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4150045000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4200037000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4250032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4300018000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4350035000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4400027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4450027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4500035000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4550041000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4600022000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
