% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       28.9300135000        -1.0699865000         1.7197347703         0.9983798566         1.8601704740        -8.8182138122        -9.9326846795
       28.9350078000        -1.0649922000         1.7228763575         1.0111414909         1.8193404347        -8.4857771911        -9.8863225926
       28.9400131000        -1.0599869000         1.7260206211         1.0009321835         1.7861660277        -8.7517264880        -9.8398583927
       28.9450063000        -1.0549937000         1.7291530685         0.9881705492         1.7555434982        -9.0841631091        -9.7935065171
       28.9500158000        -1.0499842000         1.7322915279         1.0213507983         1.7300247236        -8.2198278941        -9.7470033286
       28.9550083000        -1.0449917000         1.7354151545         0.9983798566         1.6917465617        -8.8182138122        -9.7006579511
       28.9600125000        -1.0399875000         1.7385419283         1.0034845104         1.6585721547        -8.6852391637        -9.6542039625
       28.9650068000        -1.0349932000         1.7416583673         1.0009321835         1.6330533802        -8.7517264880        -9.6078418756
       28.9700107000        -1.0299893000         1.7447766564         1.0264554521         1.5973270957        -8.0868532457        -9.5613906719
       28.9751210000        -1.0248790000         1.7479569907         0.9856182224         1.5616008113        -9.1506504333        -9.5139517570
       28.9800031000        -1.0199969000         1.7509913024         1.0034845104         1.5233226494        -8.6852391637        -9.4686312227
       28.9850082000        -1.0149918000         1.7540980141         0.9983798566         1.4952519974        -8.8182138122        -9.4221688794
       28.9900080000        -1.0099920000         1.7571973613         1.0162461446         1.4646294679        -8.3528025426        -9.3757557360
       28.9956067000        -1.0043933000         1.7606631496         1.0060368372         1.4237994285        -8.6187518395        -9.3237830039
       29.0000136000        -0.9999864000         1.7633876097         0.9958275298         1.3957287765        -8.8847011364        -9.2828737512
       29.0050071000        -0.9949929000         1.7664709428         1.0213507983         1.3523468597        -8.2198278941        -9.2365190907
       29.0100077000        -0.9899923000         1.7695546524         1.0060368372         1.3344837175        -8.6187518395        -9.1900985209
       29.0150138000        -0.9849862000         1.7726377524         0.9983798566         1.2962055556        -8.8182138122        -9.1436268946
       29.0200163000        -0.9799837000         1.7757146514         1.0034845104         1.2706867810        -8.6852391637        -9.0971886871
       29.0250063000        -0.9749937000         1.7787799100         1.0290077789         1.2349604965        -8.0203659215        -9.0508665171
       29.0300061000        -0.9699939000         1.7818472450         1.0085891641         1.2017860896        -8.5522645153        -9.0044533737
       29.0350149000        -0.9649851000         1.7849161587         1.0111414909         1.1686116826        -8.4857771911        -8.9579566833
       29.0400070000        -0.9599930000         1.7879709286         1.0290077789         1.1379891531        -8.0203659215        -8.9116150190
       29.0450144000        -0.9549856000         1.7910311528         1.0239031252         1.1073666236        -8.1533405699        -8.8651313248
       29.0500095000        -0.9499905000         1.7940799754         1.0264554521         1.0818478490        -8.0868532457        -8.8187618115
       29.0550102000        -0.9449898000         1.7971283443         1.0085891641         1.0486734420        -8.5522645153        -8.7723403134
       29.0600084000        -0.9399916000         1.8001713330         1.0392170863         1.0257065449        -7.7544166246        -8.7259420228
       29.0650147000        -0.9349853000         1.8032154032         1.0290077789         0.9950840154        -8.0203659215        -8.6794685399
       29.0700091000        -0.9299909000         1.8062484127         1.0315601058         0.9568058535        -7.9538785972        -8.6331055247
       29.0750128000        -0.9249872000         1.8092832534         1.0290077789         0.9261833240        -8.0203659215        -8.5866561776
       29.0800090000        -0.9199910000         1.8123097480         1.0341124326         0.8955607945        -7.8873912730        -8.5402764530
       29.0850111000        -0.9149889000         1.8153360298         1.0494263938         0.8751457748        -7.4884673277        -8.4938419587
       29.0900080000        -0.9099920000         1.8183553965         1.0213507983         0.8292119806        -8.2198278941        -8.4474557360
       29.0950157000        -0.9049843000         1.8213775240         1.0392170863         0.8036932060        -7.7544166246        -8.4009692569
       29.1000090000        -0.8999910000         1.8243872221         1.0315601058         0.7730706765        -7.9538785972        -8.3546164530
       29.1050175000        -0.8949825000         1.8274023452         1.0596357012         0.7501037793        -7.2225180307        -8.3081225475
       29.1100086000        -0.8899914000         1.8304032843         1.0366647595         0.7169293724        -7.8209039488        -8.2617901662
       29.1150140000        -0.8849860000         1.8334091165         1.0366647595         0.6786512105        -7.8209039488        -8.2153250380
       29.1200174000        -0.8799826000         1.8364100533         1.0545310475         0.6556843134        -7.3554926792        -8.1688784758
       29.1250073000        -0.8749927000         1.8393992280         1.0647403549         0.6352692937        -7.0895433823        -8.1225572341
       29.1300311000        -0.8699689000         1.8424050264         1.0545310475         0.6071986416        -7.3554926792        -8.0759212987
       29.1350069000        -0.8649931000         1.8453784755         1.0647403549         0.5765761121        -7.0895433823        -8.0297309473
       29.1400068000        -0.8599932000         1.8483627003         1.0596357012         0.5434017052        -7.2225180307        -7.9833168756
       29.1450090000        -0.8549910000         1.8513446740         1.0698450086         0.5229866855        -6.9565687338        -7.9368814530
       29.1500063000        -0.8499937000         1.8543201204         1.0723973355         0.4949160334        -6.8900814096        -7.8904915171
       29.1550071000        -0.8449929000         1.8572940554         1.0596357012         0.4617416265        -7.2225180307        -7.8440690907
       29.1600065000        -0.8399935000         1.8602635758         1.0723973355         0.4387747293        -6.8900814096        -7.7976596605
       29.1650064000        -0.8349936000         1.8632298241         1.0698450086         0.4056003224        -6.9565687338        -7.7512455888
       29.1700058000        -0.8299942000         1.8661922198         1.0698450086         0.3775296703        -6.9565687338        -7.7048361586
       29.1750048000        -0.8249952000         1.8691508359         1.0723973355         0.3494590183        -6.8900814096        -7.6584304416
       29.1800066000        -0.8199934000         1.8721075765         1.0698450086         0.3290439986        -6.9565687338        -7.6119987322
       29.1850050000        -0.8149950000         1.8750587896         1.0826066429         0.2958695916        -6.6241321127        -7.5655985850
       29.1900059000        -0.8099941000         1.8780079724         1.0749496623         0.2626951847        -6.8235940854        -7.5191752303
       29.1950037000        -0.8049963000         1.8809518355         1.0723973355         0.2448320425        -6.8900814096        -7.4727806529
       29.2000062000        -0.7999938000         1.8838949840         1.0621880280         0.2091057580        -7.1560307065        -7.4263424454
       29.2050061000        -0.7949939000         1.8868331333         1.0851589698         0.1861388609        -6.5576447885        -7.3799283737
       29.2100063000        -0.7899937000         1.8897680020         1.0902636235         0.1682757187        -6.4246701400        -7.3335115171
       29.2150069000        -0.7849931000         1.8926996603         1.0877112966         0.1351013117        -6.4911574643        -7.2870909473
       29.2200133000        -0.7799867000         1.8956312799         1.0698450086         0.1019269048        -6.9565687338        -7.2406165361
       29.2250064000        -0.7749936000         1.8985516959         1.0826066429         0.0815118851        -6.6241321127        -7.1942655888
       29.2300149000        -0.7699851000         1.9014777045         1.0902636235         0.0610968654        -6.4246701400        -7.1477716833
       29.2350076000        -0.7649924000         1.9043910907         1.0953682772         0.0304743359        -6.2916954916        -7.1014244492
       29.2400083000        -0.7599917000         1.9073057622         1.0723973355        -0.0001481936        -6.8900814096        -7.0550029511
