% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 5
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
32.9800000000        -1.7549990400        -14.6245825002       -14.8060622320      
32.9850000000        -1.7537472200        -14.6141509590       -14.6331951890      
32.9900000000        -1.7524990600        -14.6037499169       -14.7794673024      
32.9950000000        -1.7512490550        -14.5933335002       -14.8060622320      
33.0000000000        -1.7499849350        -14.5827994618       -14.7927647672      
33.0050000000        -1.7487491000        -14.5725011252       -14.8991444860      
33.0100000000        -1.7474978200        -14.5620740838       -14.7661698375      
33.0150000000        -1.7462457550        -14.5516405010       -14.8858470211      
33.0200000000        -1.7449954150        -14.5412212927       -14.6066002594      
33.0250000000        -1.7437486600        -14.5308319586       -14.7927647672      
33.0300000000        -1.7424985400        -14.5204145837       -14.7528723727      
33.0350000000        -1.7412489750        -14.5100018336       -14.8725495563      
33.0400000000        -1.7399988300        -14.4995842503       -14.6597901187      
33.0450000000        -1.7387456500        -14.4891413760       -14.7528723726      
33.0500000000        -1.7374962350        -14.4787298759       -14.6730875836      
33.0550000000        -1.7362488450        -14.4683352503       -14.8193596969      
33.0600000000        -1.7349990150        -14.4579202919       -14.6730875836      
33.0650000000        -1.7337480550        -14.4474959171       -14.4337332164      
33.0700000000        -1.7324989650        -14.4370871252       -14.7661698375      
33.0750000000        -1.7312490550        -14.4266715002       -14.5667078648      
33.0800000000        -1.7299978400        -14.4162450005       -14.7262774430      
33.0850000000        -1.7286615100        -14.4051092290       -14.5268154703      
33.0900000000        -1.7274989450        -14.3954214586       -14.5534104000      
33.0950000000        -1.7262480000        -14.3849972088       -14.6066002594      
33.1000000000        -1.7249988000        -14.3745875003       -14.7794673023      
33.1050000000        -1.7237477900        -14.3641627088       -14.5534104000      
33.1100000000        -1.7224562150        -14.3533998852       -14.5800053297      
33.1150000000        -1.7212485050        -14.3433359170       -14.5401129351      
33.1200000000        -1.7199966950        -14.3329044591       -14.4736256109      
33.1250000000        -1.7187488650        -14.3225061669       -14.4603281461      
33.1300000000        -1.7174990700        -14.3120915002       -14.5135180054      
33.1350000000        -1.7162478800        -14.3016652088       -14.6331951890      
33.1400000000        -1.7149926000        -14.2912048351       -14.5401129351      
33.1450000000        -1.7137491200        -14.2808427919       -14.5002205406      
33.1500000000        -1.7124990100        -14.2704255002       -14.3805433570      
33.1550000000        -1.7112489650        -14.2600087502       -14.4204357515      
33.1600000000        -1.7099988700        -14.2495915836       -14.6066002593      
33.1650000000        -1.7087490600        -14.2391767919       -14.2874611031      
33.1700000000        -1.7074991000        -14.2287607502       -14.5268154703      
33.1750000000        -1.7062491750        -14.2183450002       -14.1411889898      
33.1800000000        -1.7049988750        -14.2079261253       -14.5667078648      
33.1850000000        -1.7037482700        -14.1975047087       -14.2874611031      
33.1900000000        -1.7024981500        -14.1870873338       -14.2342712437      
33.1950000000        -1.7012489600        -14.1766777086       -14.3273534976      
33.2000000000        -1.6999987800        -14.1662598336       -14.1145940601      
33.2050000000        -1.6987491400        -14.1558464585       -14.4869230758      
33.2100000000        -1.6974989350        -14.1454283752       -14.0879991304      
33.2150000000        -1.6962489750        -14.1350123336       -14.2076763140      
33.2200000000        -1.6949988050        -14.1245945419       -14.2342712437      
33.2250000000        -1.6937490000        -14.1141797919       -14.3672458921      
33.2300000000        -1.6924844000        -14.1036417536       -14.1943788492      
33.2350000000        -1.6912489900        -14.0933469586       -14.0879991304      
33.2400000000        -1.6899986750        -14.0829279586       -14.3273534976      
33.2450000000        -1.6887492650        -14.0725165002       -14.3007585679      
33.2500000000        -1.6874875100        -14.0620021696       -14.2342712437      
33.2550000000        -1.6862490900        -14.0516822919       -14.1677839195      
33.2600000000        -1.6849828550        -14.0411306290       -14.3406509625      
33.2650000000        -1.6837492900        -14.0308512085       -14.2874611031      
33.2700000000        -1.6824916100        -14.0203708353       -14.2342712437      
33.2750000000        -1.6812490250        -14.0100162502       -14.3406509625      
33.2800000000        -1.6799988150        -13.9995981253       -14.2209737788      
33.2850000000        -1.6787486900        -13.9891807086       -14.2475687086      
33.2900000000        -1.6774840750        -13.9786425454       -14.1145940601      
33.2950000000        -1.6762438900        -13.9683079597       -14.0747016655      
33.3000000000        -1.6749987350        -13.9579319586       -14.1278915249      
33.3050000000        -1.6737435050        -13.9474720015       -14.1677839195      
33.3100000000        -1.6724986450        -13.9370984586       -14.0879991304      
33.3150000000        -1.6712491750        -13.9266865002       -14.1145940601      
33.3200000000        -1.6699987900        -13.9162669170       -14.1411889898      
33.3250000000        -1.6687490350        -13.9058525836       -14.0082143413      
33.3300000000        -1.6674983450        -13.8954304587       -14.0215118062      
33.3350000000        -1.6661395900        -13.8841078174       -14.2475687085      
33.3400000000        -1.6649986950        -13.8746006253       -13.9018346226      
33.3450000000        -1.6636588900        -13.8634358962       -13.9018346226      
33.3500000000        -1.6624988000        -13.8537687503       -13.9284295523      
33.3550000000        -1.6612485450        -13.8433502504       -14.1544864546      
33.3600000000        -1.6599985950        -13.8329342920       -13.9018346226      
33.3650000000        -1.6587491600        -13.8225226252       -13.9284295522      
33.3700000000        -1.6574988850        -13.8121039586       -13.9151320874      
33.3750000000        -1.6562490550        -13.8016890002       -14.0082143413      
33.3800000000        -1.6549988150        -13.7912706253       -14.0082143413      
33.3850000000        -1.6537489350        -13.7808552502       -13.7954549038      
33.3900000000        -1.6524836150        -13.7703112122       -13.9683219468      
33.3950000000        -1.6512492850        -13.7600254168       -13.8619422280      
33.4000000000        -1.6499839300        -13.7494810871       -13.8752396929      
33.4050000000        -1.6487489200        -13.7391896253       -13.8087523686      
33.4100000000        -1.6474968500        -13.7287560007       -13.8087523686      
33.4150000000        -1.6462490950        -13.7183583336       -13.8220498335      
33.4200000000        -1.6449988650        -13.7079400419       -14.0614042007      
33.4250000000        -1.6437489350        -13.6975242502       -13.7688599741      
33.4300000000        -1.6424800900        -13.6869508380       -13.7289675796      
33.4350000000        -1.6412489650        -13.6766917502       -13.7023726499      
33.4400000000        -1.6399993250        -13.6662783752       -13.9151320874      
33.4450000000        -1.6387489050        -13.6558585002       -13.7954549038      
33.4500000000        -1.6374990100        -13.6454430002       -13.8885371577      
33.4550000000        -1.6362490500        -13.6350269586       -13.9816194116      
33.4600000000        -1.6349988350        -13.6246087920       -13.7688599741      
33.4650000000        -1.6337467850        -13.6141753341       -13.8220498335      
33.4700000000        -1.6323576250        -13.6025993249       -13.7688599741      
33.4750000000        -1.6312486000        -13.5933577087       -13.8353472983      
33.4800000000        -1.6299968600        -13.5829268341       -13.8220498335      
33.4850000000        -1.6287485700        -13.5725247087       -13.6358853256      
33.4900000000        -1.6274983950        -13.5621068754       -13.7821574390      
33.4950000000        -1.6262486850        -13.5516929170       -13.7954549038      
33.5000000000        -1.6249987400        -13.5412770003       -13.7422650444      
33.5050000000        -1.6237488650        -13.5308616669       -13.5959929311      
33.5100000000        -1.6224984450        -13.5204417920       -13.8619422280      
33.5150000000        -1.6212481900        -13.5100232921       -13.6092903960      
33.5200000000        -1.6199991550        -13.4996149585       -13.8220498335      
33.5250000000        -1.6187485200        -13.4891932920       -13.8885371577      
33.5300000000        -1.6174992050        -13.4787826252       -13.6624802553      
33.5350000000        -1.6162472350        -13.4683498340       -13.6890751850      
33.5400000000        -1.6149991250        -13.4579492085       -13.6225878608      
33.5450000000        -1.6137491450        -13.4475330002       -13.6491827905      
33.5500000000        -1.6124992800        -13.4371177502       -13.6624802553      
33.5550000000        -1.6112474100        -13.4266857923       -13.8087523686      
33.5600000000        -1.6099990400        -13.4162830002       -13.7156701147      
33.5650000000        -1.6087478250        -13.4058565005       -13.5959929311      
33.5700000000        -1.6074989650        -13.3954496253       -13.6890751850      
33.5750000000        -1.6062401650        -13.3849599190       -13.6491827905      
33.5800000000        -1.6049991100        -13.3746180836       -13.6358853256      
33.5850000000        -1.6037490050        -13.3642008336       -13.6225878608      
33.5900000000        -1.6024991050        -13.3537852919       -13.5162081420      
33.5950000000        -1.6012491400        -13.3433692085       -13.7023726499      
33.6000000000        -1.5999989250        -13.3329510419       -13.6092903960      
33.6050000000        -1.5987490050        -13.3225353336       -13.6491827905      
33.6100000000        -1.5974982400        -13.3121125837       -13.6624802553      
33.6150000000        -1.5962488000        -13.3017008753       -13.6890751850      
33.6200000000        -1.5934713000        -13.2785556900       -13.3300436342      
33.6250000000        -1.5924072200        -13.2696886050       -13.4364233530      
33.6300000000        -1.5913554450        -13.2609240587       -13.6092903960      
33.6350000000        -1.5902965950        -13.2521005558       -13.6890751850      
33.6400000000        -1.5892459100        -13.2433450926       -13.5295056069      
33.6450000000        -1.5882001900        -13.2346310033       -13.6624802553      
33.6500000000        -1.5871422800        -13.2258153335       -13.5162081420      
33.6550000000        -1.5861001100        -13.2171308266       -13.3566385639      
33.6600000000        -1.5849990550        -13.2079556252       -13.3965309584      
33.6650000000        -1.5837490400        -13.1975391252       -13.3433410991      
33.6700000000        -1.5824986450        -13.1871194587       -13.4763157475      
33.6750000000        -1.5812491800        -13.1767075419       -13.3433410991      
33.6800000000        -1.5799992100        -13.1662914168       -13.4231258881      
33.6850000000        -1.5787493450        -13.1558761668       -13.3832334936      
33.6900000000        -1.5774992050        -13.1454586252       -13.3965309584      
33.6950000000        -1.5762492000        -13.1350422085       -13.1438791264      
33.7000000000        -1.5749993000        -13.1246266668       -13.4364233530      
33.7050000000        -1.5737489900        -13.1142077086       -13.5162081420      
33.7100000000        -1.5724993250        -13.1037941252       -13.3167461694      
