% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 5
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
5.1750000000         1.2937513900         10.7809597080        9.6213806888        
5.1800000000         1.2950013650         10.7913758747        9.4485136459        
5.1850000000         1.2962570950         10.8018399983        9.4485136459        
5.1900000000         1.2975011800         10.8122070830        9.8075451967        
5.1950000000         1.2987509450         10.8226214998        9.6479756185        
5.2000000000         1.3000013600         10.8330413330        9.4086212513        
5.2050000000         1.3012570250         10.8435049150        9.7011654779        
5.2100000000         1.3025015800         10.8538759163        9.6745705482        
5.2150000000         1.3037536150         10.8643092491        9.4086212513        
5.2200000000         1.3050010600         10.8747043331        9.7277604076        
5.2250000000         1.3062511000         10.8851210414        9.6878680131        
5.2300000000         1.3075008700         10.8955354998        9.5282984349        
5.2350000000         1.3087514450         10.9059566663        9.8740325209        
5.2400000000         1.3100015650         10.9163740413        9.7676528021        
5.2450000000         1.3112511400         10.9267868747        9.7277604076        
5.2500000000         1.3125011400         10.9372032497        9.5814882943        
5.2550000000         1.3137511750         10.9476199164        9.9405198451        
5.2600000000         1.3150015450         10.9580393747        9.5947857592        
5.2650000000         1.3162509250         10.9684505831        9.7942477318        
5.2700000000         1.3175011850         10.9788691247        9.7676528021        
5.2750000000         1.3187527450         10.9892984994        9.8208426615        
5.2800000000         1.3200010250         10.9997005414        9.9139249155        
5.2850000000         1.3212508350         11.0101153331        9.8075451967        
5.2900000000         1.3225018050         11.0205397912        9.8341401264        
5.2950000000         1.3237508600         11.0309482915        9.7676528022        
5.3000000000         1.3250009950         11.0413657914        9.8740325209        
5.3050000000         1.3262565150         11.0518281651        9.8607350561        
5.3100000000         1.3276103600         11.0631098909        9.9139249154        
5.3150000000         1.3287548000         11.0726466239        9.9139249154        
5.3200000000         1.3300015750         11.0830361246        9.7942477318        
5.3250000000         1.3312509600         11.0934473748        10.0734944936       
5.3300000000         1.3325151650         11.1039821215        9.8873299857        
5.3350000000         1.3337510000         11.1142804581        9.9405198451        
5.3400000000         1.3350015800         11.1247016663        9.8873299857        
5.3450000000         1.3362511650         11.1351145830        10.0070071694       
5.3500000000         1.3375016450         11.1455349579        9.7144629428        
5.3550000000         1.3387509300         11.1559453748        9.9937097045        
5.3600000000         1.3400013250         11.1663650414        9.9405198451        
5.3650000000         1.3412550450         11.1768124155        10.0336020991       
5.3700000000         1.3425013150         11.1871977080        9.9405198451        
5.3750000000         1.3437509100         11.1976107081        10.1399818178       
5.3800000000         1.3450011950         11.2080294581        9.9804122397        
5.3850000000         1.3462510650         11.2184447497        9.8873299857        
5.3900000000         1.3477836400         11.2312158505        10.1000894233       
5.3950000000         1.3488261050         11.2399028156        10.0867919584       
5.4000000000         1.3500287650         11.2499247016        9.8740325209        
5.4050000000         1.3512507450         11.2601075832        9.9405198451        
5.4100000000         1.3525009750         11.2705258748        9.9538173100        
5.4150000000         1.3537513650         11.2809454997        10.0468995639       
5.4200000000         1.3550009950         11.2913587914        9.9671147748        
5.4250000000         1.3562507300         11.3017729581        9.9937097045        
5.4300000000         1.3575013800         11.3121947497        9.9405198452        
5.4350000000         1.3587511450         11.3226091664        9.9272223803        
5.4400000000         1.3600007950         11.3330226248        10.0070071694       
5.4450000000         1.3612511900         11.3434422914        10.1000894233       
5.4500000000         1.3625009000         11.3538562498        9.9937097045        
5.4550000000         1.3637514900         11.3642775413        10.0203046342       
5.4600000000         1.3650012000         11.3746914997        10.0734944936       
5.4650000000         1.3662513050         11.3851087497        9.9538173100        
5.4700000000         1.3675014350         11.3955262080        10.1266843530       
5.4750000000         1.3687518100         11.4059457079        10.1399818178       
5.4800000000         1.3700014650         11.4163592080        9.9937097045        
5.4850000000         1.3712515150         11.4267759996        10.0734944936       
5.4900000000         1.3725010900         11.4371888331        10.2729564663       
5.4950000000         1.3737516000         11.4476094579        10.0468995639       
5.5000000000         1.3750009400         11.4580203331        10.0734944936       
5.5050000000         1.3762524200         11.4684490411        10.0336020991       
5.5100000000         1.3775009450         11.4788531248        10.1000894233       
5.5150000000         1.3787512650         11.4892721664        10.1798742124       
5.5200000000         1.3800010000         11.4996863331        10.2463615366       
5.5250000000         1.3812546450         11.5101330823        10.0203046342       
5.5300000000         1.3825008400         11.5205177498        10.2064691420       
5.5350000000         1.3837507700         11.5309335415        10.1133868881       
5.5400000000         1.3850009250         11.5413512081        10.2862539311       
5.5450000000         1.3862507450         11.5517660832        10.1000894233       
5.5500000000         1.3875008100         11.5621829998        10.1665767475       
5.5550000000         1.3887514700         11.5726048746        10.1931716772       
5.5600000000         1.3900006700         11.5830145832        10.2862539311       
5.5650000000         1.3912513900         11.5934369580        10.1798742123       
5.5700000000         1.3925011650         11.6038514581        10.1133868881       
5.5750000000         1.3937512700         11.6142687080        10.3660387202       
5.5800000000         1.3950009100         11.6246820831        10.2197666069       
5.5850000000         1.3962514650         11.6351030830        10.0867919584       
5.5900000000         1.3975009750         11.6455153748        10.2995513959       
5.5950000000         1.3987511950         11.6559335831        10.4059311147       
5.6000000000         1.4000013400         11.6663511663        10.2995513959       
5.6050000000         1.4012512900         11.6767671247        10.4192285796       
5.6100000000         1.4025008850         11.6871801248        10.2862539311       
5.6150000000         1.4037516200         11.6976026246        10.4325260444       
5.6200000000         1.4050013650         11.7080168747        10.3261463256       
5.6250000000         1.4062531300         11.7184479576        10.5787981577       
5.6300000000         1.4075014000         11.7288499163        10.5920956226       
5.6350000000         1.4087591850         11.7393311645        10.3926336499       
5.6400000000         1.4100086300         11.7497429146        10.5522032280       
5.6450000000         1.4112514250         11.7600992497        10.2995513959       
5.6500000000         1.4126833300         11.7720314572        10.5389057632       
5.6550000000         1.4137687600         11.7810764539        10.4059311147       
5.6600000000         1.4150012350         11.7913467914        10.5655006929       
5.6650000000         1.4162514650         11.8017650830        10.5522032280       
5.6700000000         1.4175085950         11.8122408730        10.6053930874       
5.6750000000         1.4187509650         11.8225936664        10.4724184389       
5.6800000000         1.4200268850         11.8332260354        10.6585829468       
5.6850000000         1.4212508700         11.8434256248        10.5522032280       
5.6900000000         1.4225012350         11.8538450414        10.3793361850       
5.6950000000         1.4237513150         11.8642620830        10.5787981577       
5.7000000000         1.4250012850         11.8746782080        10.5389057632       
5.7050000000         1.4262509850         11.8850920831        10.5920956225       
5.7100000000         1.4275010950         11.8955093748        10.5389057632       
5.7150000000         1.4287543750         11.9059530823        10.6718804116       
5.7200000000         1.4300015550         11.9163459580        10.4591209741       
5.7250000000         1.4312509550         11.9267573331        10.6053930874       
5.7300000000         1.4325013650         11.9371771247        10.6186905522       
5.7350000000         1.4337507750         11.9475885832        10.5256082983       
5.7400000000         1.4350012350         11.9580087914        10.4990133686       
5.7450000000         1.4362510350         11.9684234998        10.6851778765       
5.7500000000         1.4375015400         11.9788440830        10.5123108335       
5.7550000000         1.4387508750         11.9892549165        10.8314499898       
5.7600000000         1.4400012700         11.9996745830        10.6585829468       
5.7650000000         1.4412509100         12.0100879581        10.6984753413       
5.7700000000         1.4425008700         12.0205039998        10.6585829468       
5.7750000000         1.4437506650         12.0309186665        10.6984753413       
5.7800000000         1.4450008300         12.0413364165        10.5522032280       
5.7850000000         1.4462507150         12.0517518332        10.8048550601       
5.7900000000         1.4475047850         12.0622021239        10.5920956226       
5.7950000000         1.4487506900         12.0725843748        10.6053930874       
5.8000000000         1.4500007100         12.0830009165        10.7516652007       
5.8050000000         1.4512507550         12.0934176665        10.8181525250       
5.8100000000         1.4525006300         12.1038329999        10.6984753413       
5.8150000000         1.4537513600         12.1142554580        10.6585829468       
5.8200000000         1.4550009250         12.1246682081        10.8580449195       
5.8250000000         1.4562523400         12.1350963745        10.8181525249       
5.8300000000         1.4575009100         12.1455008331        10.7383677359       
5.8350000000         1.4587508400         12.1559166248        10.8314499898       
5.8400000000         1.4600009250         12.1663337081        10.6585829468       
5.8450000000         1.4612544650         12.1767795823        10.9910195679       
5.8500000000         1.4625006800         12.1871644165        10.8846398491       
5.8550000000         1.4637508600         12.1975822915        10.8713423843       
5.8600000000         1.4650006700         12.2079970832        11.0043170328       
5.8650000000         1.4662507800         12.2184143748        10.7782601304       
5.8700000000         1.4675008850         12.2288316248        10.9777221031       
5.8750000000         1.4687508250         12.2392474998        10.7915575952       
5.8800000000         1.4700021450         12.2496748745        10.8846398492       
5.8850000000         1.4712509300         12.2600811248        10.9378297085       
5.8900000000         1.4725007600         12.2704960831        11.0973992867       
5.8950000000         1.4737508050         12.2809128332        10.8048550601       
5.9000000000         1.4750018150         12.2913376246        10.9511271734       
5.9050000000         1.4762513200         12.3017498747        11.1372916812       
5.9100000000         1.4775011600         12.3121649164        10.8580449195       
5.9150000000         1.4787509650         12.3225796664        11.0442094273       
5.9200000000         1.4802144900         12.3347753666        11.1904815406       
5.9250000000         1.4817269850         12.3473791387        11.0176144976       
5.9300000000         1.4827820850         12.3561713925        11.1372916812       
5.9350000000         1.4838285500         12.3648916900        11.0309119625       
5.9400000000         1.4850006300         12.3746587498        11.0309119625       
5.9450000000         1.4862510600         12.3850787081        11.0973992867       
5.9500000000         1.4875006050         12.3954912915        11.0176144976       
5.9550000000         1.4887508450         12.4059096665        10.9112347788       
5.9600000000         1.4900008350         12.4163259581        11.0176144976       
5.9650000000         1.4912507200         12.4267413748        11.1106967515       
5.9700000000         1.4925006500         12.4371571665        11.0176144976       
5.9750000000         1.4937508900         12.4475755415        11.1904815406       
5.9800000000         1.4950006400         12.4579898332        11.0841018218       
5.9850000000         1.4962509550         12.4684088331        11.2436714000       
5.9900000000         1.4975008050         12.4788239581        11.0841018218       
5.9950000000         1.4987508050         12.4892403331        10.9644246382       
6.0000000000         1.5000008050         12.4996567081        11.1904815406       
6.0050000000         1.5012512650         12.5100769164        11.1372916812       
6.0100000000         1.5025009500         12.5204906664        11.2968612593       
6.0150000000         1.5037511250         12.5309084997        11.1372916812       
6.0200000000         1.5050008750         12.5413227914        11.0708043570       
6.0250000000         1.5062508950         12.5517393331        10.9112347788       
6.0300000000         1.5075009900         12.5621564998        10.9777221031       
6.0350000000         1.5087510250         12.5725731664        11.2037790054       
6.0400000000         1.5100008750         12.5829882915        11.0575068922       
6.0450000000         1.5112511100         12.5934066247        11.1771840757       
6.0500000000         1.5125009600         12.6038217498        11.3234561891       
6.0550000000         1.5137510200         12.6142386248        11.2569688648       
6.0600000000         1.5150289800         12.6248879932        11.1771840757       
6.0650000000         1.5162515000         12.6350753746        11.0841018218       
6.0700000000         1.5175014150         12.6454910413        11.3234561891       
6.0750000000         1.5187515400         12.6559084580        11.2037790054       
6.0800000000         1.5200291650         12.6665550348        11.2170764703       
6.0850000000         1.5212517600         12.6767430412        11.2702663297       
6.0900000000         1.5225039800         12.6871779158        11.2968612594       
6.0950000000         1.5237509500         12.6975690414        11.1771840757       
6.1000000000         1.5250012900         12.7079882497        11.2702663297       
6.1050000000         1.5262676850         12.7185412459        11.2436714000       
6.1100000000         1.5275018250         12.7288254579        11.3766460484       
6.1150000000         1.5287514050         12.7392383330        11.2569688648       
6.1200000000         1.5300010650         12.7496518748        11.3367536539       
6.1250000000         1.5312587950         12.7601326646        11.1904815406       
6.1300000000         1.5325010950         12.7704848748        11.4298359078       
6.1350000000         1.5337518900         12.7809078746        11.3633485836       
6.1400000000         1.5350022650         12.7913273745        11.2835637945       
6.1450000000         1.5362515850         12.8017380830        11.3633485836       
6.1500000000         1.5375012000         12.8121512497        11.5229181617       
6.1550000000         1.5387513200         12.8225686247        11.3633485836       
6.1600000000         1.5400009850         12.8329822081        11.3899435133       
6.1650000000         1.5412518750         12.8434059996        11.4431333727       
6.1700000000         1.5425010600         12.8538155831        11.5229181617       
6.1750000000         1.5437517250         12.8642374996        11.4830257672       
6.1800000000         1.5450009250         12.8746472081        11.7223801344       
6.1850000000         1.5462515550         12.8850688330        11.5628105563       
6.1900000000         1.5475016000         12.8954855829        11.3766460485       
6.1950000000         1.5487516350         12.9059022496        11.5229181617       
6.2000000000         1.5500017550         12.9163196246        11.4830257672       
6.2050000000         1.5512518050         12.9267364163        11.5628105563       
6.2100000000         1.5525016700         12.9371516663        11.4431333726       
6.2150000000         1.5537511400         12.9475636247        11.7223801344       
6.2200000000         1.5550086350         12.9580424563        11.4963232320       
6.2250000000         1.5562515600         12.9683998746        11.4963232320       
6.2300000000         1.5575038250         12.9788351241        11.6824877399       
6.2350000000         1.5587508700         12.9892268748        11.5894054859       
6.2400000000         1.5600011250         12.9996453747        11.5894054860       
6.2450000000         1.5612515750         13.0100654996        11.5894054860       
6.2500000000         1.5625020150         13.0204855412        11.5362156266       
6.2550000000         1.5637510850         13.0308941664        11.5096206969       
6.2600000000         1.5650009850         13.0413097081        11.8819497126       
6.2650000000         1.5662509750         13.0517259998        11.6691902750       
6.2700000000         1.5675011200         13.0621435831        11.6824877399       
6.2750000000         1.5687510450         13.0725593331        12.0016268962       
6.2800000000         1.5700009500         13.0829749164        11.6824877399       
6.2850000000         1.5712510400         13.0933920414        11.7223801344       
6.2900000000         1.5725028350         13.1038233743        11.5761080211       
6.2950000000         1.5737508500         13.1142232081        11.7489750641       
6.3000000000         1.5750008500         13.1246395831        11.8021649235       
6.3050000000         1.5762508800         13.1350562082        11.7888674586       
6.3100000000         1.5775007550         13.1454715415        11.8021649235       
6.3150000000         1.5787542650         13.1559171657        11.8287598532       
6.3200000000         1.5800010000         13.1663063331        11.7090826696       
6.3250000000         1.5812607350         13.1768038308        11.8154623883       
6.3300000000         1.5825025650         13.1871521244        11.8686522477       
6.3350000000         1.5837609700         13.1976385391        11.8553547828       
6.3400000000         1.5850012150         13.2079736247        11.6160004157       
6.3450000000         1.5862515500         13.2183927913        11.7622725289       
6.3500000000         1.5875014000         13.2288079163        11.8819497126       
6.3550000000         1.5887512400         13.2392229580        11.9351395719       
6.3600000000         1.5900023250         13.2496483745        11.8686522477       
6.3650000000         1.5912542700         13.2600809573        11.9218421071       
6.3700000000         1.5925021550         13.2704797078        11.9218421071       
6.3750000000         1.5937520150         13.2808949162        11.7090826696       
6.3800000000         1.5950039350         13.2913272907        11.7755699938       
6.3850000000         1.5962512700         13.3017214580        11.8819497126       
6.3900000000         1.5975047150         13.3121665406        11.8952471774       
6.3950000000         1.5987508250         13.3225504998        11.9617345016       
6.4000000000         1.6000198550         13.3331254537        11.8021649235       
6.4050000000         1.6012510650         13.3433852498        12.0814116852       
6.4100000000         1.6025069400         13.3538505817        12.0415192907       
6.4150000000         1.6037509500         13.3642170414        11.8287598532       
6.4200000000         1.6050009500         13.3746334164        12.0947091501       
6.4250000000         1.6062682900         13.3851942874        12.0149243610       
6.4300000000         1.6075008800         13.3954655831        11.8553547829       
6.4350000000         1.6087508150         13.4058814165        12.0149243610       
6.4400000000         1.6100008550         13.4162981248        12.0149243610       
6.4450000000         1.6112544450         13.4267444156        12.0814116852       
6.4500000000         1.6125760350         13.4377573573        11.9085446423       
6.4550000000         1.6140899650         13.4503730873        12.1611964743       
6.4600000000         1.6151391950         13.4591164258        12.0681142204       
6.4650000000         1.6162505200         13.4683772082        12.0947091501       
6.4700000000         1.6175009250         13.4787969581        12.2143863337       
6.4750000000         1.6187508750         13.4892129165        12.1213040798       
6.4800000000         1.6200290400         13.4998639932        12.2010888688       
6.4850000000         1.6212534600         13.5100672075        12.0282218259       
6.4900000000         1.6225009850         13.5204629581        12.1346015446       
6.4950000000         1.6237509700         13.5308792081        12.0548167555       
6.5000000000         1.6250270600         13.5415129937        12.2542787282       
6.5050000000         1.6262510750         13.5517128331        12.0548167555       
6.5100000000         1.6275010600         13.5621290831        12.0548167555       
6.5150000000         1.6287508850         13.5725439998        12.2276837985       
6.5200000000         1.6301252950         13.5839970958        12.2808736579       
6.5250000000         1.6312700150         13.5935361620        12.0814116852       
6.5300000000         1.6325009050         13.6037932915        12.2010888688       
6.5350000000         1.6337509650         13.6142101664        12.0681142204       
6.5400000000         1.6350007000         13.6246243332        12.2808736579       
6.5450000000         1.6362508300         13.6350417915        12.0681142204       
6.5500000000         1.6375007750         13.6454577081        12.2675761931       
6.5550000000         1.6387507350         13.6558737498        12.3473609821       
6.5600000000         1.6400005450         13.6662885415        12.1877914040       
6.5650000000         1.6412507550         13.6767066665        12.2409812634       
6.5700000000         1.6425007000         13.6871225832        12.1611964743       
6.5750000000         1.6437510750         13.6975420831        12.2675761931       
6.5800000000         1.6450009200         13.7079571665        12.3606584470       
6.5850000000         1.6462510550         13.7183746664        12.4005508415       
6.5900000000         1.6475010000         13.7287905831        12.2143863337       
6.5950000000         1.6487526900         13.7392210410        12.3473609822       
6.6000000000         1.6500007850         13.7496215415        12.3207660525       
6.6050000000         1.6512506400         13.7600367082        12.4803356306       
6.6100000000         1.6525365500         13.7707523248        12.2941711228       
6.6150000000         1.6537507550         13.7808704165        12.4670381658       
6.6200000000         1.6550020150         13.7912972912        12.4138483064       
6.6250000000         1.6562530200         13.8017220410        12.5468229548       
6.6300000000         1.6575102050         13.8121982893        12.3739559118       
6.6350000000         1.6587505800         13.8225344582        12.3739559118       
6.6400000000         1.6600008050         13.8329527082        12.2941711228       
6.6450000000         1.6612507250         13.8433684165        12.3207660525       
6.6500000000         1.6625021550         13.8537967078        12.3872533767       
6.6550000000         1.6639701650         13.8660297820        12.1346015446       
6.6600000000         1.6650174700         13.8747570793        12.2808736579       
6.6650000000         1.6662531550         13.8850541660        12.4271457712       
6.6700000000         1.6675886500         13.8961829793        12.3872533767       
6.6750000000         1.6687510500         13.9058693747        12.3872533767       
6.6800000000         1.6700007200         13.9162829998        12.4271457712       
6.6850000000         1.6712684050         13.9268467457        12.4670381657       
6.6900000000         1.6725077750         13.9371745398        12.6133102790       
6.6950000000         1.6737715850         13.9477059950        12.3074685876       
6.7000000000         1.6750010200         13.9579509998        12.5867153493       
6.7050000000         1.6762602250         13.9684440810        12.3739559118       
6.7100000000         1.6775006900         13.9787809998        12.4670381658       
6.7150000000         1.6787607750         13.9892814141        12.5069305603       
6.7200000000         1.6800008050         13.9996147081        12.5069305603       
6.7250000000         1.6812506650         14.0100299165        12.5335254900       
6.7300000000         1.6825008200         14.0204475831        12.4670381658       
6.7350000000         1.6837507450         14.0308633332        12.4404432361       
6.7400000000         1.6850008250         14.0412803748        12.5601204197       
6.7450000000         1.6862507400         14.0516960415        12.4537407009       
6.7500000000         1.6875312650         14.0623667844        12.5601204196       
6.7550000000         1.6887519550         14.0725389162        12.4005508415       
6.7600000000         1.6900008800         14.0829463331        12.6930950681       
6.7650000000         1.6912511800         14.0933652081        12.5468229548       
6.7700000000         1.6925027250         14.1037944577        12.5069305603       
6.7750000000         1.6937512850         14.1141988330        12.6532026736       
6.7800000000         1.6950010600         14.1246133331        12.6532026736       
6.7850000000         1.6962511300         14.1350302914        12.4670381657       
6.7900000000         1.6975009800         14.1454454164        12.5867153494       
6.7950000000         1.6987509200         14.1558612915        12.6266077439       
6.8000000000         1.7000010600         14.1662788331        12.6532026736       
6.8050000000         1.7012509950         14.1766946664        12.5867153494       
6.8100000000         1.7025022150         14.1871212078        12.7063925330       
6.8150000000         1.7037506150         14.1975242498        12.6665001384       
6.8200000000         1.7050008250         14.2079423748        12.8260697166       
6.8250000000         1.7062507150         14.2183578332        12.6532026736       
6.8300000000         1.7075008000         14.2287749165        12.8659621111       
6.8350000000         1.7087509800         14.2391927914        12.6399052087       
6.8400000000         1.7100008400         14.2496079998        12.6266077439       
6.8450000000         1.7112507650         14.2600237498        12.7329874627       
6.8500000000         1.7125009150         14.2704413748        12.6797976033       
6.8550000000         1.7137506800         14.2808557915        12.9324494353       
6.8600000000         1.7150006550         14.2912719582        12.6930950681       
6.8650000000         1.7162506500         14.3016882915        12.8659621111       
6.8700000000         1.7175016750         14.3121132079        12.6797976033       
6.8750000000         1.7187511100         14.3225248747        12.8526646463       
6.8800000000         1.7200010050         14.3329403748        12.7728798572       
6.8850000000         1.7212508900         14.3433557915        12.8127722517       
6.8900000000         1.7225008250         14.3537716248        12.7861773220       
6.8950000000         1.7237510300         14.3641897081        12.9324494353       
6.9000000000         1.7250008650         14.3746047081        12.9191519705       
6.9050000000         1.7262506900         14.3850196248        12.7728798572       
6.9100000000         1.7275110100         14.3955219974        12.8925570408       
6.9150000000         1.7289131100         14.4072058369        12.7063925330       
6.9200000000         1.7300008050         14.4162697082        12.9058545056       
6.9250000000         1.7312508250         14.4266862498        12.8526646463       
6.9300000000         1.7325010250         14.4371042914        12.9856392947       
6.9350000000         1.7337509550         14.4475200831        12.9457469002       
6.9400000000         1.7350006750         14.4579341248        12.9058545056       
6.9450000000         1.7362510250         14.4683534164        13.0255316892       
6.9500000000         1.7375009200         14.4787689164        13.1718038026       
6.9550000000         1.7387510950         14.4891867497        12.7994747869       
6.9600000000         1.7400010000         14.4996023331        13.0122342244       
6.9650000000         1.7412511900         14.5100202914        13.1319114080       
6.9700000000         1.7425013150         14.5204377081        13.1718038025       
6.9750000000         1.7437513750         14.5308545830        13.0255316893       
6.9800000000         1.7450011100         14.5412687497        13.2249936619       
6.9850000000         1.7462509500         14.5516837914        13.2249936619       
6.9900000000         1.7475009500         14.5621001664        13.0521266189       
6.9950000000         1.7487508250         14.5725154998        13.0654240838       
7.0000000000         1.7500094350         14.5830036228        13.1186139431       
7.0050000000         1.7512508500         14.5933484581        13.1585063377       
7.0100000000         1.7525007400         14.6037639165        13.0654240838       
7.0150000000         1.7537508850         14.6141814998        13.0920190135       
7.0200000000         1.7550009100         14.6245980831        13.2116961971       
7.0250000000         1.7562512600         14.6350173747        13.1186139432       
7.0300000000         1.7575273200         14.6456509103        13.0122342244       
7.0350000000         1.7587516350         14.6558532496        13.2648860565       
7.0400000000         1.7600011500         14.6662655830        13.0521266189       
7.0450000000         1.7612510300         14.6766809581        13.2382911268       
7.0500000000         1.7625007900         14.6870953331        13.0920190135       
7.0550000000         1.7637509650         14.6975131664        13.1452088729       
7.0600000000         1.7650025000         14.7079423327        13.1452088729       
7.0650000000         1.7662510600         14.7183467081        13.1452088728       
7.0700000000         1.7675009300         14.7287619998        13.2914809862       
7.0750000000         1.7687510150         14.7391790831        13.2382911268       
7.0800000000         1.7700010250         14.7495955414        13.3313733807       
7.0850000000         1.7712508500         14.7600104581        13.1718038026       
7.0900000000         1.7725008350         14.7704267081        13.3446708455       
7.0950000000         1.7737508500         14.7808432081        13.1452088728       
7.1000000000         1.7750007150         14.7912584582        13.3712657752       
7.1050000000         1.7762597650         14.8017502477        13.2515885916       
7.1100000000         1.7775006150         14.8120903748        13.3180759158       
7.1150000000         1.7789483600         14.8241545787        13.2648860565       
7.1200000000         1.7800011200         14.8329273331        13.3446708455       
7.1250000000         1.7815447100         14.8457902229        13.3313733807       
7.1300000000         1.7825881000         14.8544848961        13.3180759159       
7.1350000000         1.7837510550         14.8641759164        13.3446708455       
7.1400000000         1.7850224000         14.8747701614        13.2249936619       
7.1450000000         1.7862508200         14.8850067082        13.3579683104       
7.1500000000         1.7875116150         14.8955130390        13.2648860564       
7.1550000000         1.7887508300         14.9058395414        13.3446708455       
7.1600000000         1.7900045700         14.9162870823        13.2648860565       
7.1650000000         1.7912685200         14.9268197040        13.4643480291       
7.1700000000         1.7925131650         14.9371914553        13.4909429589       
7.1750000000         1.7938403050         14.9482506456        13.3845632401       
7.1800000000         1.7950209700         14.9580892451        13.3180759158       
7.1850000000         1.7962509450         14.9683387498        13.3978607049       
7.1900000000         1.7975013400         14.9787584163        13.4776454940       
7.1950000000         1.7987509100         14.9891712081        13.5441328182       
7.2000000000         1.8000011300         14.9995894164        13.5042404237       
7.2050000000         1.8012516150         15.0100098329        13.3978607049       
7.2100000000         1.8025009100         15.0204203331        13.4244556346       
7.2150000000         1.8037510000         15.0308374581        13.5042404237       
7.2200000000         1.8050010750         15.0412544581        13.4776454940       
7.2250000000         1.8062514950         15.0516743330        13.3845632401       
7.2300000000         1.8075014700         15.0620904997        13.5042404237       
7.2350000000         1.8087514100         15.0725063747        13.5042404237       
7.2400000000         1.8100010050         15.0829193748        13.5042404237       
7.2450000000         1.8112516550         15.0933411663        13.5175378885       
7.2500000000         1.8125010400         15.1037524164        13.3845632401       
7.2550000000         1.8137509750         15.1141682498        13.5840252127       
7.2600000000         1.8150007400         15.1245826665        13.4377530994       
7.2650000000         1.8162511100         15.1350021248        13.4909429588       
7.2700000000         1.8175010300         15.1454178331        13.7037023963       
7.2750000000         1.8187520600         15.1558427912        13.6372150721       
7.2800000000         1.8200009450         15.1662498748        13.5441328182       
7.2850000000         1.8212519200         15.1766743745        13.5308353534       
7.2900000000         1.8225015100         15.1870873330        13.6904049315       
7.2950000000         1.8237667750         15.1976309128        13.6638100018       
7.3000000000         1.8250011600         15.2079171664        13.5441328182       
7.3050000000         1.8262513250         15.2183349164        13.6239176073       
7.3100000000         1.8275012850         15.2287509580        13.7169998612       
7.3150000000         1.8287541900         15.2391915407        13.6638100018       
7.3200000000         1.8300019700         15.2495894162        13.7302973260       
7.3250000000         1.8312515150         15.2600019996        13.7701897206       
7.3300000000         1.8325011550         15.2704153747        13.6638100018       
7.3350000000         1.8337512250         15.2808323330        13.8100821151       
7.3400000000         1.8350009950         15.2912467914        13.6638100018       
7.3450000000         1.8362511550         15.3016644997        14.0228415527       
7.3500000000         1.8375009900         15.3120794997        13.7435947909       
7.3550000000         1.8387521150         15.3225052495        13.6904049315       
7.3600000000         1.8400011150         15.3329132914        13.8765694394       
7.3650000000         1.8412516200         15.3433338746        13.6904049315       
7.3700000000         1.8425013400         15.3537479164        13.8898669042       
7.3750000000         1.8437516350         15.3641667496        13.8233795800       
7.3800000000         1.8450014750         15.3745817913        13.9696516933       
7.3850000000         1.8463271300         15.3856286070        13.8765694393       
7.3900000000         1.8477069350         15.3971266601        13.8366770448       
7.3950000000         1.8487553550         15.4058632487        13.9696516933       
7.4000000000         1.8500014950         15.4162474580        13.8499745096       
7.4050000000         1.8512632850         15.4267620802        14.0627339472       
7.4100000000         1.8525009700         15.4370758331        13.8632719745       
7.4150000000         1.8537554200         15.4475292904        13.9430567636       
7.4200000000         1.8550010400         15.4579091664        13.9297592987       
7.4250000000         1.8562513800         15.4683283747        13.9164618339       
7.4300000000         1.8575017950         15.4787482079        14.0095440878       
7.4350000000         1.8587516900         15.4891637079        13.9031643691       
7.4400000000         1.8600010450         15.4995747081        14.0893288769       
7.4450000000         1.8612507950         15.5099889998        13.8765694394       
7.4500000000         1.8625103950         15.5204853725        13.9563542284       
7.4550000000         1.8637515250         15.5308278330        14.0095440878       
7.4600000000         1.8650010950         15.5412406247        13.9962466230       
7.4650000000         1.8662522900         15.5516669578        14.0228415527       
7.4700000000         1.8675009400         15.5620720831        14.1558162011       
7.4750000000         1.8687536650         15.5725111658        14.0893288769       
7.4800000000         1.8700009100         15.5829045831        14.1026263417       
7.4850000000         1.8712516050         15.5933267496        14.1026263417       
7.4900000000         1.8725015250         15.6037424580        14.0494364823       
7.4950000000         1.8737511850         15.6141559997        14.0893288769       
7.5000000000         1.8750024850         15.6245832078        14.2621959199       
7.5050000000         1.8762516350         15.6349924996        14.0494364823       
7.5100000000         1.8775010600         15.6454040831        14.0095440878       
7.5150000000         1.8787515550         15.6558245830        14.2090060605       
7.5200000000         1.8800010750         15.6662369581        14.2356009902       
7.5250000000         1.8812511500         15.6766539581        14.0494364823       
7.5300000000         1.8825011050         15.6870699581        14.1824111308       
7.5350000000         1.8837601250         15.6975614976        14.1425187363       
7.5400000000         1.8850014400         15.7079054997        14.2356009902       
7.5450000000         1.8862616100         15.7184066223        14.2090060605       
7.5500000000         1.8875013750         15.7287377080        14.0627339472       
7.5550000000         1.8887541650         15.7391773323        14.0627339472       
7.5600000000         1.8901616250         15.7509058373        14.2356009902       
