% K_lin=8.333100  p_cw=[-3.862900 39.921500 -80.250500]  p_ccw=[3.553400 1.935700 -22.689000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.1353821000         0.0212641677         2.5000000000         1.3301823480         1.2043379670        -0.2333705080
        0.1409266000         0.0221348907         2.5000000000         1.3454963091         1.2170973543         0.1655534373
        0.1454344000         0.0228427951         2.5000000000         1.3429439823         1.2170973543         0.0990661131
        0.1504713000         0.0236337759         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.1553884000         0.0244059292         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.1604890000         0.0252068831         2.5000000000         1.3735719045         1.2170973543         0.8969140038
        0.1654210000         0.0259813460         2.5000000000         1.3352870017         1.2119935994        -0.1003958596
        0.1704414000         0.0267696742         2.5000000000         1.3327346748         1.2043379670        -0.1668831838
        0.1753951000         0.0275475125         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.1803880000         0.0283314893         2.5000000000         1.3276300211         1.2043379670        -0.2998578323
        0.1853897000         0.0291168303         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.1903815000         0.0299005989         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.1953921000         0.0306873008         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.2004259000         0.0314776262         2.5000000000         1.3659149240         1.2094417220         0.6974520311
        0.2054496000         0.0322663462         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.2103908000         0.0330420942         2.5000000000         1.3352870017         1.2068898445        -0.1003958596
        0.2153909000         0.0338270689         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.2204161000         0.0346159631         2.5000000000         1.3301823480         1.2017860896        -0.2333705080
        0.2253910000         0.0353969396         2.5000000000         1.3454963091         1.2094417220         0.1655534373
        0.2304252000         0.0361872032         2.5000000000         1.3454963091         1.2170973543         0.1655534373
        0.2354588000         0.0369773500         2.5000000000         1.3301823480         1.2017860896        -0.2333705080
        0.2404187000         0.0377559051         2.5000000000         1.3429439823         1.2170973543         0.0990661131
        0.2453902000         0.0385362581         2.5000000000         1.3378393285         1.2068898445        -0.0339085354
        0.2503822000         0.0393198052         2.5000000000         1.3327346748         1.2043379670        -0.1668831838
        0.2553903000         0.0401058552         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.2604277000         0.0408964788         2.5000000000         1.3429439823         1.2170973543         0.0990661131
        0.2653898000         0.0416752591         2.5000000000         1.3327346748         1.2017860896        -0.1668831838
        0.2703998000         0.0424615313         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.2753898000         0.0432446386         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.2804535000         0.0440392849         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.2853896000         0.0448138801         2.5000000000         1.3301823480         1.2043379670        -0.2333705080
        0.2904181000         0.0456029475         2.5000000000         1.3429439823         1.2119935994         0.0990661131
        0.2953906000         0.0463831993         2.5000000000         1.3301823480         1.2017860896        -0.2333705080
        0.3004168000         0.0471718487         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.3054246000         0.0479575818         2.5000000000         1.3352870017         1.2017860896        -0.1003958596
        0.3103812000         0.0487352522         2.5000000000         1.3378393285         1.2119935994        -0.0339085354
        0.3153820000         0.0495198275         2.5000000000         1.3429439823         1.2170973543         0.0990661131
        0.3203813000         0.0503041369         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.3254314000         0.0510963845         2.5000000000         1.3403916554         1.2094417220         0.0325787889
        0.3304163000         0.0518783722         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.3353882000         0.0526582889         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.3404154000         0.0534468475         2.5000000000         1.3301823480         1.2043379670        -0.2333705080
        0.3454428000         0.0542354042         2.5000000000         1.3301823480         1.2043379670        -0.2333705080
        0.3504242000         0.0550167123         2.5000000000         1.3429439823         1.2145454769         0.0990661131
