Time[s]		AO0(Switch)	AO1(Sine)	AI2(Read)	AI3(Read)
        0.3950000000         3.0000000000         4.0000000000         1.8687233147         0.8343157355
        0.4000000000         3.0000000000         4.0000000000         1.8942465832         0.8981126720
        0.4050000000         3.0000000000         4.0000000000         1.8840372758         0.9440464662
        0.4100000000         3.0000000000         4.0000000000         1.8712756415         0.9976358929
        0.4150001000         3.0000000000         4.0000000000         1.8840372758         1.0588809519
        0.4200001000         3.0000000000         4.0000000000         1.8814849490         1.1124703785
        0.4250000000         3.0000000000         4.0000000000         1.8763802953         1.1609560502
        0.4300000000         3.0000000000         4.0000000000         1.8763802953         1.2145454769
        0.4350000000         3.0000000000         4.0000000000         1.8840372758         1.2732386584
        0.4400000000         3.0000000000         4.0000000000         1.8840372758         1.3268280851
        0.4450000000         3.0000000000         4.0000000000         1.8891419295         1.3778656343
        0.4500000000         3.0000000000         4.0000000000         1.8738279684         1.4314550609
        0.4550000000         3.0000000000         4.0000000000         1.8738279684         1.4799407326
        0.4600000000         3.0000000000         4.0000000000         1.8789326221         1.5411857916
        0.4650000000         3.0000000000         4.0000000000         1.8789326221         1.5896714634
        0.4700000000         3.0000000000         4.0000000000         1.8763802953         1.6458127674
        0.4750001000         3.0000000000         4.0000000000         1.8763802953         1.6917465617
        0.4800001000         3.0000000000         4.0000000000         1.8840372758         1.7478878658
        0.4850000000         3.0000000000         4.0000000000         1.8687233147         1.7989254150
        0.4900000000         3.0000000000         4.0000000000         1.8610663341         1.8525148416
        0.4950000000         3.0000000000         4.0000000000         1.8687233147         1.9035523908
        0.5000000000         3.0000000000         4.0000000000         1.8661709878         1.9494861851
        0.5050000000         3.0000000000         4.0000000000         1.8738279684         2.0107312441
        0.5100000000         3.0000000000         4.0000000000         1.8814849490         2.0643206707
        0.5150000000         3.0000000000         4.0000000000         1.8763802953         2.1153582199
        0.5200000000         3.0000000000         4.0000000000         1.8661709878         2.1689476465
        0.5250000000         3.0000000000         4.0000000000         1.8967989101         2.2250889506
        0.5300000000         3.0000000000         4.0000000000         1.8891419295         2.2837821322
        0.5350000000         3.0000000000         4.0000000000         1.8738279684         2.3297159265
        0.5400000000         3.0000000000         4.0000000000         1.8789326221         2.3884091080
        0.5450000000         3.0000000000         4.0000000000         1.8840372758         2.4419985347
        0.5500000000         3.0000000000         4.0000000000         1.8840372758         2.5006917162
        0.5550000000         3.0000000000         4.0000000000         1.8712756415         2.5466255105
        0.5600000000         3.0000000000         4.0000000000         1.8712756415         2.5951111822
        0.5650000000         3.0000000000         4.0000000000         1.8814849490         2.6538043638
        0.5700001000         3.0000000000         4.0000000000         1.8712756415         2.7048419129
        0.5750000000         3.0000000000         4.0000000000         1.8814849490         2.7686388494
        0.5800001000         3.0000000000         4.0000000000         1.8891419295         2.8273320310
        0.5850000000         3.0000000000         4.0000000000         1.8789326221         2.8783695801
        0.5900000000         3.0000000000         4.0000000000         1.8814849490         2.9268552519
        0.5950000000         3.0000000000         4.0000000000         1.8840372758         2.9804446785
        0.6000000000         3.0000000000         4.0000000000         1.8865896027         3.0340341051
        0.6050000000         3.0000000000         4.0000000000         1.8789326221         3.0927272867
        0.6100000000         3.0000000000         4.0000000000         1.8814849490         3.1412129584
        0.6150000000         3.0000000000         4.0000000000         1.8865896027         3.1999061400
        0.6200000000         3.0000000000         4.0000000000         1.8687233147         3.2407361793
        0.6250000000         3.0000000000         4.0000000000         1.8763802953         3.3070849933
        0.6300000000         3.0000000000         4.0000000000         1.8814849490         3.3581225424
        0.6350000000         3.0000000000         4.0000000000         1.8789326221         3.4117119691
        0.6400000000         3.0000000000         4.0000000000         1.8687233147         3.4601976408
        0.6450000000         3.0000000000         4.0000000000         1.8763802953         3.5214426998
        0.6500000000         3.0000000000         4.0000000000         1.8814849490         3.5673764941
        0.6550000000         3.0000000000         4.0000000000         1.8840372758         3.6260696756
        0.6600000000         3.0000000000         4.0000000000         1.8763802953         3.6745553474
        0.6650000000         3.0000000000         4.0000000000         1.8763802953         3.7306966515
        0.6700000000         3.0000000000         4.0000000000         1.8763802953         3.7893898330
        0.6750000000         3.0000000000         4.0000000000         1.8814849490         3.8429792597
        0.6800000000         3.0000000000         4.0000000000         1.8738279684         3.8940168088
        0.6850000000         3.0000000000         4.0000000000         1.8789326221         3.9501581129
        0.6900000000         3.0000000000         4.0000000000         1.8763802953         3.9960919072
        0.6950001000         3.0000000000         4.0000000000         1.8763802953         4.0547850888
        0.7000000000         3.0000000000         4.0000000000         1.8840372758         4.1134782703
        0.7050001000         3.0000000000         4.0000000000         1.8789326221         4.1619639420
        0.7100000000         3.0000000000         4.0000000000         1.8712756415         4.2130014912
        0.7150000000         3.0000000000         4.0000000000         1.8789326221         4.2742465502
        0.7200000000         3.0000000000         4.0000000000         1.8840372758         4.3329397318
        0.7250000000         3.0000000000         4.0000000000         1.8814849490         4.3839772810
        0.7300000000         3.0000000000         4.0000000000         1.8789326221         4.4350148301
        0.7350000000         3.0000000000         4.0000000000         1.8840372758         4.4988117666
        0.7400000000         3.0000000000         4.0000000000         1.8840372758         4.5524011933
        0.7450000000         3.0000000000         4.0000000000         1.8789326221         4.5983349875
        0.7500000000         3.0000000000         4.0000000000         1.8789326221         4.6570281691
        0.7550000000         3.0000000000         4.0000000000         1.8865896027         4.7157213506
        0.7600000000         3.0000000000         4.0000000000         1.8865896027         4.7718626547
        0.7650000000         3.0000000000         4.0000000000         1.8814849490         4.8305558363
        0.7700000000         3.0000000000         4.0000000000         1.8814849490         4.8841452629
        0.7750000000         3.0000000000         4.0000000000         1.8789326221         4.9453903219
        0.7800000000         3.0000000000         4.0000000000         1.8840372758         5.0040835035
        0.7850000000         3.0000000000         4.0000000000         1.8712756415         5.0015316260
        0.7900000000         3.0000000000         4.0000000000         1.8763802953         4.9964278711
        0.7950000000         3.0000000000         4.0000000000         1.8840372758         1.1048147461
        0.8000000000         3.0000000000         4.0000000000         1.8814849490         0.0049555613
        0.8050000000         3.0000000000         4.0000000000         1.8789326221         0.0024036839
        0.8100000000         3.0000000000         4.0000000000         1.8865896027         0.0279224584
        0.8150000000         3.0000000000         4.0000000000         1.8763802953         0.0687524978
        0.8200001000         3.0000000000         4.0000000000         1.8738279684         0.1274456793
        0.8252338000         3.0000000000         4.0000000000         1.8840372758         0.2677989396
        0.8331191000         3.0000000000         4.0000000000         1.8789326221         0.2805583269
        0.8350001000         3.0000000000         4.0000000000         1.8865896027         0.3060771015
        0.8400000000         3.0000000000         4.0000000000         1.8840372758         0.3571146507
        0.8450000000         3.0000000000         4.0000000000         1.8789326221         0.4209115871
        0.8500000000         3.0000000000         4.0000000000         1.8840372758         0.4745010138
        0.8550000000         3.0000000000         4.0000000000         1.8687233147         0.5204348080
        0.8600000000         3.0000000000         4.0000000000         1.8942465832         0.5842317445
        0.8650000000         3.0000000000         4.0000000000         1.8763802953         0.6301655388
        0.8700000000         3.0000000000         4.0000000000         1.8840372758         0.6888587203
        0.8750000000         3.0000000000         4.0000000000         1.8789326221         0.7398962695
        0.8800000000         3.0000000000         4.0000000000         1.8738279684         0.7934856961
