% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.2103856000         0.0210385600         2.5000000000         1.3352870017         2.5644886527        -0.0618332115
        0.2154105000         0.0215410500         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.2203871000         0.0220387100         2.5000000000         1.3429439823         2.5746961625         0.1376287611
        0.2254009000         0.0225400900         2.5000000000         1.3454963091         2.5772480400         0.2041160854
        0.2303883000         0.0230388300         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.2353924000         0.0235392400         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.2403863000         0.0240386300         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.2454883000         0.0245488300         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.2504088000         0.0250408800         2.5000000000         1.3480486360         2.5695924076         0.2706034096
        0.2554524000         0.0255452400         2.5000000000         1.3429439823         2.5746961625         0.1376287611
        0.2604177000         0.0260417700         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.2654017000         0.0265401700         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.2703867000         0.0270386700         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.2754405000         0.0275440500         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.2803883000         0.0280388300         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.2853960000         0.0285396000         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.2904106000         0.0290410600         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.2954219000         0.0295421900         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3004167000         0.0300416700         2.5000000000         1.3506009628         2.5644886527         0.3370907338
        0.3053944000         0.0305394400         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.3105022000         0.0310502200         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.3153932000         0.0315393200         2.5000000000         1.3327346748         2.5619367752        -0.1283205358
        0.3203948000         0.0320394800         2.5000000000         1.3378393285         2.5670405302         0.0046541127
        0.3253857000         0.0325385700         2.5000000000         1.3454963091         2.5772480400         0.2041160854
        0.3309452000         0.0330945200         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.3361909000         0.0336190900         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3403864000         0.0340386400         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3484865000         0.0348486500         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.3504220000         0.0350422000         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
